incident_id,service,component,severity,summary,signature,error_code
INC-001,Database,Postgres-DB01,P1,Query load causing high CPU usage,db_high_cpu,DB1001
INC-002,Network,DNS-Resolver,P1,Resolution failures in DNS queries,dns_latency,NET3001
INC-003,Network,DNS-Resolver,P2,DNS latency observed,dns_latency,NET3001
INC-004,Database,Postgres-DB01,P2,Database server CPU over 90%,db_high_cpu,DB1001
INC-005,Application,Orders-Service,P2,Resident memory usage growing abnormally,web_disk_full,APP2001
INC-006,Application,Orders-Service,P3,Resident memory usage growing abnormally,web_disk_full,APP2001
INC-007,Network,DNS-Resolver,P1,Resolution failures in DNS queries,dns_latency,NET3001
INC-008,Database,Postgres-DB01,P2,DB instance maxing out CPU cores,db_high_cpu,DB1001
INC-009,Network,DNS-Resolver,P3,Resolution failures in DNS queries,dns_latency,NET3001
INC-010,Database,Postgres-DB01,P2,DB process hogging CPU resources,db_high_cpu,DB1001
INC-011,Database,Postgres-DB01,P3,Spike in CPU due to inefficient queries,db_high_cpu,DB1001
INC-012,Network,DNS-Resolver,P2,High DNS query response time,dns_latency,NET3001
INC-013,Application,Orders-Service,P3,Memory usage keeps growing over time,web_disk_full,APP2001
INC-014,Application,Orders-Service,P3,RAM utilization exceeding threshold,web_disk_full,APP2001
INC-015,Network,DNS-Resolver,P3,Name resolution latency detected,dns_latency,NET3001
INC-016,Database,Postgres-DB01,P2,Query load causing high CPU usage,db_high_cpu,DB1001
INC-017,Network,DNS-Resolver,P1,Resolution failures in DNS queries,dns_latency,NET3001
INC-018,Application,Orders-Service,P1,Service consuming excessive memory,web_disk_full,APP2001
INC-019,Network,DNS-Resolver,P2,Intermittent DNS timeout,dns_latency,NET3001
INC-020,Database,Postgres-DB01,P2,Database CPU utilization spiking above 95%,db_high_cpu,DB1001
INC-021,Database,Postgres-DB01,P1,Database server CPU over 90%,db_high_cpu,DB1001
INC-022,Database,Postgres-DB01,P3,Queries overwhelming CPU,db_high_cpu,DB1001
INC-023,Database,Postgres-DB01,P2,Database server CPU over 90%,db_high_cpu,DB1001
INC-024,Application,Orders-Service,P2,Heap space exhaustion,web_disk_full,APP2001
INC-025,Application,Orders-Service,P3,Steady increase in memory footprint,web_disk_full,APP2001
INC-026,Application,Orders-Service,P1,Resident memory usage growing abnormally,web_disk_full,APP2001
INC-027,Database,Postgres-DB01,P3,Database CPU utilization spiking above 95%,db_high_cpu,DB1001
INC-028,Application,Orders-Service,P3,Service consuming excessive memory,web_disk_full,APP2001
INC-029,Application,Orders-Service,P1,Memory saturation due to leak,web_disk_full,APP2001
INC-030,Database,Postgres-DB01,P2,DB instance maxing out CPU cores,db_high_cpu,DB1001
INC-031,Application,Orders-Service,P2,Memory saturation due to leak,web_disk_full,APP2001
INC-032,Network,DNS-Resolver,P2,Delayed DNS responses affecting services,dns_latency,NET3001
INC-033,Database,Postgres-DB01,P1,Database server CPU over 90%,db_high_cpu,DB1001
INC-034,Database,Postgres-DB01,P2,Heavy CPU consumption from database processes,db_high_cpu,DB1001
INC-035,Network,DNS-Resolver,P1,DNS query timeout intermittently,dns_latency,NET3001
INC-036,Network,DNS-Resolver,P2,DNS latency observed,dns_latency,NET3001
INC-037,Database,Postgres-DB01,P1,DB process hogging CPU resources,db_high_cpu,DB1001
INC-038,Database,Postgres-DB01,P1,Heavy CPU consumption from database processes,db_high_cpu,DB1001
INC-039,Network,DNS-Resolver,P3,DNS server slow to respond,dns_latency,NET3001
INC-040,Application,Orders-Service,P1,RAM utilization exceeding threshold,web_disk_full,APP2001
INC-041,Database,Postgres-DB01,P2,Heavy CPU consumption from database processes,db_high_cpu,DB1001
INC-042,Database,Postgres-DB01,P2,DB process hogging CPU resources,db_high_cpu,DB1001
INC-043,Application,Orders-Service,P3,Application memory leak observed,web_disk_full,APP2001
INC-044,Application,Orders-Service,P2,Memory allocation not released,web_disk_full,APP2001
INC-045,Database,Postgres-DB01,P3,Heavy CPU consumption from database processes,db_high_cpu,DB1001
INC-046,Database,Postgres-DB01,P3,DB process hogging CPU resources,db_high_cpu,DB1001
INC-047,Network,DNS-Resolver,P2,DNS lookups delayed,dns_latency,NET3001
INC-048,Database,Postgres-DB01,P2,Database CPU load average too high,db_high_cpu,DB1001
INC-049,Database,Postgres-DB01,P2,DB instance maxing out CPU cores,db_high_cpu,DB1001
INC-050,Application,Orders-Service,P2,Heap space exhaustion,web_disk_full,APP2001
INC-051,Network,DNS-Resolver,P3,DNS lookups delayed,dns_latency,NET3001
INC-052,Application,Orders-Service,P2,Application memory leak observed,web_disk_full,APP2001
INC-053,Network,DNS-Resolver,P3,Resolution failures in DNS queries,dns_latency,NET3001
INC-054,Network,DNS-Resolver,P3,Resolution failures in DNS queries,dns_latency,NET3001
INC-055,Database,Postgres-DB01,P1,Database CPU load average too high,db_high_cpu,DB1001
INC-056,Network,DNS-Resolver,P2,Intermittent DNS timeout,dns_latency,NET3001
INC-057,Application,Orders-Service,P1,Memory saturation due to leak,web_disk_full,APP2001
INC-058,Network,DNS-Resolver,P3,Name resolution latency detected,dns_latency,NET3001
INC-059,Application,Orders-Service,P3,Application memory leak observed,web_disk_full,APP2001
INC-060,Database,Postgres-DB01,P2,High CPU on DB instance,db_high_cpu,DB1001
INC-061,Network,DNS-Resolver,P1,Slow DNS resolution times,dns_latency,NET3001
INC-062,Network,DNS-Resolver,P1,High DNS query response time,dns_latency,NET3001
INC-063,Network,DNS-Resolver,P3,Name resolution latency detected,dns_latency,NET3001
INC-064,Database,Postgres-DB01,P3,Query load causing high CPU usage,db_high_cpu,DB1001
INC-065,Application,Orders-Service,P3,Steady increase in memory footprint,web_disk_full,APP2001
INC-066,Database,Postgres-DB01,P1,Database CPU load average too high,db_high_cpu,DB1001
INC-067,Application,Orders-Service,P1,Memory usage keeps growing over time,web_disk_full,APP2001
INC-068,Application,Orders-Service,P3,Resident memory usage growing abnormally,web_disk_full,APP2001
INC-069,Network,DNS-Resolver,P1,DNS query timeout intermittently,dns_latency,NET3001
INC-070,Database,Postgres-DB01,P2,Spike in CPU due to inefficient queries,db_high_cpu,DB1001
INC-071,Network,DNS-Resolver,P1,Intermittent DNS timeout,dns_latency,NET3001
INC-072,Database,Postgres-DB01,P2,Heavy CPU consumption from database processes,db_high_cpu,DB1001
INC-073,Database,Postgres-DB01,P2,DB instance maxing out CPU cores,db_high_cpu,DB1001
INC-074,Application,Orders-Service,P3,Application causing OOM errors,web_disk_full,APP2001
INC-075,Network,DNS-Resolver,P1,DNS server slow to respond,dns_latency,NET3001
INC-076,Application,Orders-Service,P1,Steady increase in memory footprint,web_disk_full,APP2001
INC-077,Database,Postgres-DB01,P2,Heavy CPU consumption from database processes,db_high_cpu,DB1001
INC-078,Network,DNS-Resolver,P1,DNS latency observed,dns_latency,NET3001
INC-079,Application,Orders-Service,P2,Memory usage keeps growing over time,web_disk_full,APP2001
INC-080,Application,Orders-Service,P2,Resident memory usage growing abnormally,web_disk_full,APP2001
INC-081,Network,DNS-Resolver,P3,DNS query timeout intermittently,dns_latency,NET3001
INC-082,Application,Orders-Service,P1,Service consuming excessive memory,web_disk_full,APP2001
INC-083,Network,DNS-Resolver,P2,Name resolution latency detected,dns_latency,NET3001
INC-084,Database,Postgres-DB01,P1,Database CPU load average too high,db_high_cpu,DB1001
INC-085,Database,Postgres-DB01,P2,Heavy CPU consumption from database processes,db_high_cpu,DB1001
INC-086,Application,Orders-Service,P2,Application causing OOM errors,web_disk_full,APP2001
INC-087,Network,DNS-Resolver,P2,DNS latency observed,dns_latency,NET3001
INC-088,Database,Postgres-DB01,P3,Queries overwhelming CPU,db_high_cpu,DB1001
INC-089,Application,Orders-Service,P3,Memory usage keeps growing over time,web_disk_full,APP2001
INC-090,Network,DNS-Resolver,P2,Intermittent DNS timeout,dns_latency,NET3001
INC-091,Application,Orders-Service,P1,RAM utilization exceeding threshold,web_disk_full,APP2001
INC-092,Application,Orders-Service,P3,Memory usage keeps growing over time,web_disk_full,APP2001
INC-093,Database,Postgres-DB01,P3,Database server CPU over 90%,db_high_cpu,DB1001
INC-094,Database,Postgres-DB01,P3,Heavy CPU consumption from database processes,db_high_cpu,DB1001
INC-095,Application,Orders-Service,P3,Memory usage keeps growing over time,web_disk_full,APP2001
INC-096,Database,Postgres-DB01,P1,High CPU on DB instance,db_high_cpu,DB1001
INC-097,Database,Postgres-DB01,P3,Database CPU utilization spiking above 95%,db_high_cpu,DB1001
INC-098,Application,Orders-Service,P3,Service consuming excessive memory,web_disk_full,APP2001
INC-099,Application,Orders-Service,P1,Memory usage keeps growing over time,web_disk_full,APP2001
INC-100,Database,Postgres-DB01,P2,DB instance maxing out CPU cores,db_high_cpu,DB1001
INC-101,Network,DNS-Resolver,P1,Name resolution latency detected,dns_latency,NET3001
INC-102,Network,DNS-Resolver,P2,DNS latency observed,dns_latency,NET3001
INC-103,Network,DNS-Resolver,P3,DNS latency observed,dns_latency,NET3001
INC-104,Database,Postgres-DB01,P1,Queries overwhelming CPU,db_high_cpu,DB1001
INC-105,Network,DNS-Resolver,P1,DNS query timeout intermittently,dns_latency,NET3001
INC-106,Network,DNS-Resolver,P2,DNS lookups delayed,dns_latency,NET3001
INC-107,Application,Orders-Service,P3,Memory allocation not released,web_disk_full,APP2001
INC-108,Network,DNS-Resolver,P1,Name resolution latency detected,dns_latency,NET3001
INC-109,Application,Orders-Service,P1,Memory saturation due to leak,web_disk_full,APP2001
INC-110,Network,DNS-Resolver,P3,Delayed DNS responses affecting services,dns_latency,NET3001
INC-111,Network,DNS-Resolver,P1,DNS server slow to respond,dns_latency,NET3001
INC-112,Application,Orders-Service,P3,Steady increase in memory footprint,web_disk_full,APP2001
INC-113,Application,Orders-Service,P1,Steady increase in memory footprint,web_disk_full,APP2001
INC-114,Database,Postgres-DB01,P2,Spike in CPU due to inefficient queries,db_high_cpu,DB1001
INC-115,Database,Postgres-DB01,P2,Database CPU load average too high,db_high_cpu,DB1001
INC-116,Network,DNS-Resolver,P1,DNS server slow to respond,dns_latency,NET3001
INC-117,Application,Orders-Service,P2,Heap space exhaustion,web_disk_full,APP2001
INC-118,Application,Orders-Service,P1,RAM utilization exceeding threshold,web_disk_full,APP2001
INC-119,Network,DNS-Resolver,P2,DNS server slow to respond,dns_latency,NET3001
INC-120,Application,Orders-Service,P3,Application memory leak observed,web_disk_full,APP2001
INC-121,Application,Orders-Service,P1,Application memory leak observed,web_disk_full,APP2001
INC-122,Network,DNS-Resolver,P2,DNS query timeout intermittently,dns_latency,NET3001
INC-123,Network,DNS-Resolver,P1,DNS query timeout intermittently,dns_latency,NET3001
INC-124,Database,Postgres-DB01,P2,Queries overwhelming CPU,db_high_cpu,DB1001
INC-125,Application,Orders-Service,P3,Memory allocation not released,web_disk_full,APP2001
INC-126,Database,Postgres-DB01,P2,Database server CPU over 90%,db_high_cpu,DB1001
INC-127,Network,DNS-Resolver,P3,Delayed DNS responses affecting services,dns_latency,NET3001
INC-128,Database,Postgres-DB01,P3,Query load causing high CPU usage,db_high_cpu,DB1001
INC-129,Application,Orders-Service,P2,Application memory leak observed,web_disk_full,APP2001
INC-130,Database,Postgres-DB01,P3,High CPU on DB instance,db_high_cpu,DB1001
INC-131,Network,DNS-Resolver,P3,DNS lookups delayed,dns_latency,NET3001
INC-132,Application,Orders-Service,P3,Service consuming excessive memory,web_disk_full,APP2001
INC-133,Network,DNS-Resolver,P1,High DNS query response time,dns_latency,NET3001
